,run,type,module,name,attrname,attrvalue,value,gilbertElliotP,gilbertElliotR,arbitrationTime,sampleDeadline,fragmentSize,shapingTime,samplePeriod,sampleSize
10919,General-10-20230116-08:24:22-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,44ms,11306,1400us,33333us,135672B
11019,General-29-20230116-08:29:12-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.6507248791868,0.18,0.1,78,55ms,11306,1400us,33333us,135672B
11119,General-28-20230116-08:28:41-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.3136143976004,0.18,0.2,78,55ms,11306,1400us,33333us,135672B
11219,General-27-20230116-08:28:26-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.1389768371938,0.18,0.3,78,55ms,11306,1400us,33333us,135672B
11319,General-26-20230116-08:28:13-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.017830361606399,0.18,0.4,78,55ms,11306,1400us,33333us,135672B
11419,General-25-20230116-08:27:57-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0021663056157307,0.18,0.5,78,55ms,11306,1400us,33333us,135672B
11519,General-24-20230116-08:27:45-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,55ms,11306,1400us,33333us,135672B
11619,General-23-20230116-08:27:32-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,55ms,11306,1400us,33333us,135672B
11719,General-22-20230116-08:27:20-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,55ms,11306,1400us,33333us,135672B
11819,General-21-20230116-08:27:08-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,55ms,11306,1400us,33333us,135672B
11919,General-20-20230116-08:26:55-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,55ms,11306,1400us,33333us,135672B
12019,General-39-20230116-08:33:22-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.62806198966839,0.18,0.1,78,66ms,11306,1400us,33333us,135672B
12119,General-38-20230116-08:33:07-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.28228628561906,0.18,0.2,78,66ms,11306,1400us,33333us,135672B
12219,General-37-20230116-08:32:53-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.10948175304116,0.18,0.3,78,66ms,11306,1400us,33333us,135672B
12319,General-36-20230116-08:32:38-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0079986668888519,0.18,0.4,78,66ms,11306,1400us,33333us,135672B
12419,General-35-20230116-08:32:22-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.5,78,66ms,11306,1400us,33333us,135672B
12519,General-34-20230116-08:32:06-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,66ms,11306,1400us,33333us,135672B
12619,General-33-20230116-08:31:49-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,66ms,11306,1400us,33333us,135672B
12719,General-32-20230116-08:31:01-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,66ms,11306,1400us,33333us,135672B
12819,General-31-20230116-08:30:19-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,66ms,11306,1400us,33333us,135672B
12919,General-30-20230116-08:29:48-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,66ms,11306,1400us,33333us,135672B
13019,General-49-20230116-08:36:16-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.63222796200633,0.18,0.1,78,77ms,11306,1400us,33333us,135672B
13119,General-48-20230116-08:36:01-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.26428928511915,0.18,0.2,78,77ms,11306,1400us,33333us,135672B
13219,General-47-20230116-08:35:46-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.071488085319113,0.18,0.3,78,77ms,11306,1400us,33333us,135672B
13319,General-46-20230116-08:35:32-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0021663056157307,0.18,0.4,78,77ms,11306,1400us,33333us,135672B
13419,General-45-20230116-08:35:18-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.5,78,77ms,11306,1400us,33333us,135672B
13519,General-44-20230116-08:35:04-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,77ms,11306,1400us,33333us,135672B
13619,General-43-20230116-08:34:49-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,77ms,11306,1400us,33333us,135672B
13719,General-42-20230116-08:34:36-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,77ms,11306,1400us,33333us,135672B
13819,General-41-20230116-08:34:22-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,77ms,11306,1400us,33333us,135672B
13919,General-40-20230116-08:34:08-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,77ms,11306,1400us,33333us,135672B
14019,General-59-20230116-08:38:51-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.61439760039993,0.18,0.1,78,88ms,11306,1400us,33333us,135672B
14119,General-58-20230116-08:38:32-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.26978836860523,0.18,0.2,78,88ms,11306,1400us,33333us,135672B
14219,General-57-20230116-08:38:16-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.058156973837694,0.18,0.3,78,88ms,11306,1400us,33333us,135672B
14319,General-56-20230116-08:37:59-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.0011664722546242,0.18,0.4,78,88ms,11306,1400us,33333us,135672B
14419,General-55-20230116-08:37:46-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.5,78,88ms,11306,1400us,33333us,135672B
14519,General-54-20230116-08:37:33-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,88ms,11306,1400us,33333us,135672B
14619,General-53-20230116-08:37:20-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,88ms,11306,1400us,33333us,135672B
14719,General-52-20230116-08:37:06-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,88ms,11306,1400us,33333us,135672B
14819,General-51-20230116-08:36:51-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,88ms,11306,1400us,33333us,135672B
14919,General-50-20230116-08:36:34-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,88ms,11306,1400us,33333us,135672B
15019,General-69-20230116-08:41:27-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.63622729545076,0.18,0.1,78,99ms,11306,1400us,33333us,135672B
15119,General-68-20230116-08:41:11-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.26212297950342,0.18,0.2,78,99ms,11306,1400us,33333us,135672B
15219,General-67-20230116-08:40:56-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.054657557073821,0.18,0.3,78,99ms,11306,1400us,33333us,135672B
15319,General-66-20230116-08:40:40-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.4,78,99ms,11306,1400us,33333us,135672B
15419,General-65-20230116-08:40:26-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.5,78,99ms,11306,1400us,33333us,135672B
15519,General-64-20230116-08:40:11-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.6,78,99ms,11306,1400us,33333us,135672B
15619,General-63-20230116-08:39:57-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.7,78,99ms,11306,1400us,33333us,135672B
15719,General-62-20230116-08:39:41-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.8,78,99ms,11306,1400us,33333us,135672B
15819,General-61-20230116-08:39:23-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,0.9,78,99ms,11306,1400us,33333us,135672B
15919,General-60-20230116-08:39:06-25738,scalar,multiLink.receivers[0].rtps.reader[0],deadlineViolationRate,,,0.00016663889351776,0.18,1.0,78,99ms,11306,1400us,33333us,135672B
